Title,Year,Rating
Downfall,2004,8.2
Dangal,2016,8.3
Batman Begins,2005,8.2
For a Few Dollars More,1965,8.2
The Wolf of Wall Street,2013,8.2
Some Like It Hot,1959,8.2
Green Book,2018,8.2
The Kid,1921,8.2
The Father,2020,8.2
Judgment at Nuremberg,1961,8.3
The Truman Show,1998,8.2
All About Eve,1950,8.2
Shutter Island,2010,8.2
Top Gun: Maverick,2022,8.2
There Will Be Blood,2007,8.2
Casino,1995,8.2
Jurassic Park,1993,8.2
Ran,1985,8.2
The Sixth Sense,1999,8.2
Pan's Labyrinth,2006,8.2
Unforgiven,1992,8.2
No Country for Old Men,2007,8.2
A Beautiful Mind,2001,8.2
The Thing,1982,8.2
Kill Bill: Vol. 1,2003,8.2
The Treasure of the Sierra Madre,1948,8.2
Yojimbo,1961,8.2
Monty Python and the Holy Grail,1975,8.2
The Great Escape,1963,8.2
Finding Nemo,2003,8.2
Prisoners,2013,8.2
Howl's Moving Castle,2004,8.2
Rashomon,1950,8.2
The Elephant Man,1980,8.2
Dial M for Murder,1954,8.2
Chinatown,1974,8.1
Gone with the Wind,1939,8.2
"Lock, Stock and Two Smoking Barrels",1998,8.1
V for Vendetta,2005,8.1
Inside Out,2015,8.1
The Secret in Their Eyes,2009,8.2
Raging Bull,1980,8.1
"Three Billboards Outside Ebbing, Missouri",2017,8.1
Trainspotting,1996,8.1
The Bridge on the River Kwai,1957,8.1
Klaus,2019,8.2
Fargo,1996,8.1
Catch Me If You Can,2002,8.1
Warrior,2011,8.1
Spider-Man: No Way Home,2021,8.2
Gran Torino,2008,8.1
Harry Potter and the Deathly Hallows: Part 2,2011,8.1
Million Dollar Baby,2004,8.1
My Neighbor Totoro,1988,8.1
Children of Heaven,1997,8.2
12 Years a Slave,2013,8.1
Ben-Hur,1959,8.1
Mad Max: Fury Road,2015,8.1
Blade Runner,1982,8.1
Before Sunrise,1995,8.1
Barry Lyndon,1975,8.1
The Grand Budapest Hotel,2014,8.1
Gone Girl,2014,8.1
Hacksaw Ridge,2016,8.1
Dead Poets Society,1989,8.1
Memories of Murder,2003,8.1
The Gold Rush,1925,8.1
In the Name of the Father,1993,8.1
"Monsters, Inc.",2001,8.1
Wild Tales,2014,8.1
The Deer Hunter,1978,8.1
The General,1926,8.1
On the Waterfront,1954,8.1
Sherlock Jr.,1924,8.2
Jaws,1975,8.1
How to Train Your Dragon,2010,8.1
Ratatouille,2007,8.1
Mary and Max,2009,8.1
The Third Man,1949,8.1
The Wages of Fear,1953,8.1
Wild Strawberries,1957,8.1
Mr. Smith Goes to Washington,1939,8.1
Ford v Ferrari,2019,8.1
Tokyo Story,1953,8.1
The Big Lebowski,1998,8.1
Rocky,1976,8.1
The Seventh Seal,1957,8.1
Room,2015,8.1
Logan,2017,8.1
Spotlight,2015,8.1
Hotel Rwanda,2004,8.1
The Terminator,1984,8.1
Platoon,1986,8.1
La haine,1995,8.1
Before Sunset,2004,8.1
The Passion of Joan of Arc,1928,8.1
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1
The Best Years of Our Lives,1946,8.1
Jai Bhim,2021,8.7
The Exorcist,1973,8.1
Rush,2013,8.1
Network,1976,8.1
The Wizard of Oz,1939,8.1
Stand by Me,1986,8.1
The Incredibles,2004,8
Hachi: A Dog's Tale,2009,8.1
The Sound of Music,1965,8.1
The Handmaiden,2016,8.1
My Father and My Son,2005,8.2
To Be or Not to Be,1942,8.1
Into the Wild,2007,8.1
The Battle of Algiers,1966,8.1
Groundhog Day,1993,8
The Grapes of Wrath,1940,8.1
The Iron Giant,1999,8.1
Amores Perros,2000,8.1
Rebecca,1940,8.1
Cool Hand Luke,1967,8.1
The Help,2011,8.1
It Happened One Night,1934,8.1
Aladdin,1992,8
Drishyam,2015,8.2
Andhadhun,2018,8.2
"Paris, Texas",1984,8.1
